id,reference
0,46.797
1,77.207
2,84.985
3,47.594
4,91.324
5,10.985
6,80.752
7,56.716
8,34.636
9,33.417
10,38.118
11,85.258
12,76.914
13,64.037
14,29.148
15,57.371
16,27.545
17,80.078
18,86.476
19,34.793
20,65.899
21,80.459
22,24.641
23,64.445
24,47.786
25,17.625
26,17.046
27,33.647
28,74.817
29,37.145
30,87.19
31,71.92
32,62.202
33,91.066
34,58.373
35,53.029
36,33.332
37,81.42
38,41.573
39,60.989
40,81.155
41,87.684
42,48.478
43,88.893
44,49.142
45,48.603
46,21.574
47,90.23
48,53.79
49,29.568
50,60.787
51,46.369
52,33.159
53,71.618
54,85.974
55,89.314
56,85.927
57,40.114
58,32.725
59,50.263
60,48.415
61,56.682
62,32.054
63,50.128
64,60.823
65,35.263
66,68.154
67,81.528
68,54.754
69,81.459
70,82.968
71,67.25
72,23.114
73,80.8
74,58.77
75,20.947
76,69.622
77,32.859
78,90.024
79,30.364
80,66.471
81,96.748
82,47.796
83,48.238
84,24.439
85,62.448
86,25.813
87,75.047
88,18.679
89,58.095
90,78.01
91,19.503
92,39.627
93,21.626
94,38.747
95,32.859
96,9.6907
97,61.401
98,66.706
99,24.988
100,51.41
101,62.643
102,35.713
103,29.983
104,61.734
105,53.512
106,23.835
107,91.694
108,55.135
109,22.129
110,54.213
111,77.826
112,31.203
113,17.376
114,91.601
115,18.895
116,81.485
117,35.077
118,35.348
119,55.242
120,51.253
121,81.827
122,19.195
123,36.667
124,40.618
125,46.173
126,38.663
127,52.447
128,37.884
129,11.601
130,91.114
131,74.707
132,67.036
133,44.138
134,57.217
135,65.056
136,50.523
137,61.552
138,79.178
139,7.2341
140,17.572
141,84.19
142,9.9453
143,58.833
144,48.905
145,35.269
146,14.552
147,78.51
148,40.499
149,39.08
150,62.281
151,75.564
152,42.016
153,67.644
154,78.198
155,34.673
156,79.488
157,53.392
158,46.91
159,67.9
160,34.619
161,80.138
162,29.043
163,50.762
164,25.868
165,24.45
166,50.226
167,70.425
168,38.73
169,22.79
170,39.578
171,13.6
172,35.974
173,16.543
174,71.327
175,31.273
176,65.275
177,32.48
178,78.983
179,41.853
180,45.03
181,37.717
182,65.327
183,73.108
184,35.862
185,83.234
186,64.215
187,83.128
188,45.562
189,47.571
190,89.218
191,52.546
192,40.994
193,86.335
194,82.089
195,49.773
196,25.626
197,67.289
198,77.493
199,34.795
200,63.634
201,41.806
202,39.373
203,32.156
204,62.225
205,14.977
206,27.47
207,89.775
208,33.582
209,56.283
210,70.166
211,67.231
212,55.036
213,52.536
214,33.496
215,66.821
216,44.903
217,31.387
218,32.447
219,51.272
220,14.572
221,36.528
222,65.398
223,41.017
224,60.124
225,36.802
226,6.8815
227,55.25
228,36.102
229,88.904
230,37.228
231,72.363
232,30.774
233,33.236
234,35.916
235,35.417
236,58.653
237,60.076
238,33.336
239,50.808
240,75.232
241,54.373
242,30.304
243,66.732
244,61.084
245,43.275
246,14.772
247,36.934
248,27.011
249,10.696
250,51.575
251,62.235
252,57.366
253,83.157
254,80.466
255,40.708
256,14.79
257,89.557
258,9.1911
259,95.098
260,61.547
261,61.595
262,17.143
263,51.258
264,56.961
265,56.814
266,10.52
267,87.816
268,16.926
269,71.773
270,55.295
271,60.345
272,83.801
273,35.399
274,67.781
275,40.407
276,48.121
277,56.293
278,54.89
279,27.356
280,61.325
281,83.499
282,7.3208
283,33.374
284,70.892
285,52.529
286,19.097
287,62.398
288,41.455
289,47.219
290,35.46
291,7.9933
292,44.922
293,41.715
294,59.339
295,74.191
296,34.222
297,5.9313
298,38.204
299,56.529
300,23.418
301,89.229
302,38.859
303,51.335
304,12.281
305,9.7949
306,53.541
307,61.559
308,56.13
309,31.825
310,51.888
311,46.284
312,33.238
313,48.453
314,53.558
315,64.766
316,46.227
317,79.631
318,20.812
319,15.874
320,29.654
321,8.8401
322,12.185
323,21.777
324,39.61
325,33.712
326,79.364
327,71.605
328,68.782
329,54.879
330,49.643
331,92.589
332,90.266
333,28.32
334,28.067
335,75.462
336,80.391
337,36.339
338,38.567
339,91.513
340,80.693
341,37.622
342,89.101
343,34.202
344,11.072
345,28.32
346,92.137
347,73.59
348,29.034
349,37.568
350,62.464
351,65.746
352,59.482
353,31.512
354,55.453
355,36.066
356,49.234
357,35.788
358,51.287
359,55.614
360,63.327
361,47.973
362,29.051
363,73.84
364,12.379
365,51.601
366,22.928
367,60.512
368,35.126
369,44.996
370,31.823
371,21.991
372,82.463
373,56.423
374,29.254
375,23.695
376,18.511
377,15.633
378,42.494
379,25.855
380,41.282
381,9.7622
382,9.1964
383,36.938
384,88.479
385,51.531
386,30.577
387,52.834
388,55.093
389,45.267
390,24.902
391,25.552
392,32.661
393,25.783
394,81.888
395,86.676
396,6.7647
397,53.996
398,70.913
399,9.4738
400,53.471
401,29.238
402,11.195
403,35.464
404,83.12
405,28.896
406,87.225
407,60.882
408,50.95
409,61.408
410,48.958
411,40.234
412,59.812
413,67.263
414,88.738
415,90.441
416,34.825
417,39.046
418,45.72
419,44.316
420,34.325
421,9.0788
422,14.572
423,66.822
424,35.978
425,46.293
426,80.964
427,50.999
428,31.633
429,31.179
430,31.703
431,16.261
432,30.571
433,13.95
434,28.357
435,78.229
436,46.023
437,37.637
438,92.02
439,57.552
440,56.383
441,18.35
442,17.332
443,52.9
444,92.499
445,65.138
446,37.321
447,57.409
448,47.375
449,51.147
450,52.394
451,10.596
452,32.264
453,63.672
454,89.335
455,62.328
456,42.548
457,73.12
458,35.355
459,77.576
460,30.622
461,43.526
462,45.072
463,48.844
464,44.883
465,83.85
466,32.857
467,49.139
468,50.462
469,7.6908
470,95.074
471,41.492
472,53.791
473,25.133
474,88.921
475,25.755
476,34.135
477,33.685
478,27.535
479,42.303
480,47.56
481,65.928
482,26.172
483,30.661
484,68.272
485,91.476
486,80.926
487,87.897
488,34.108
489,26.975
490,47.956
491,30.408
492,57.411
493,38.806
494,44.253
495,28.063
496,85.742
497,36.326
498,34.452
499,18.428
500,43.97
501,52.999
502,76.038
503,45.252
504,8.0108
505,81.47
506,5.7236
507,21.819
508,37.446
509,10.123
510,36.544
511,44.428
512,58.798
513,31.833
514,51.254
515,39.964
516,34.124
517,54.86
518,92.446
519,21.197
520,78.461
521,26.633
522,82.704
523,9.6607
524,31.146
525,65.16
526,25.933
527,32.559
528,78.474
529,24.817
530,70.125
531,22.194
532,59.582
533,34.854
534,26.316
535,75.883
536,92.76
537,22.961
538,44.167
539,82.733
540,39.844
541,73.652
542,57.506
543,75.734
544,14.638
545,41.521
546,91.966
547,38.106
548,63.653
549,77.126
550,32.468
551,23.979
552,92.654
553,24.081
554,50.597
555,15.823
556,78.124
557,48.291
558,49.219
559,31.43
560,63.861
561,36.742
562,42.553
563,41.739
564,11.647
565,33.165
566,90.52
567,84.044
568,37.969
569,14.066
570,79.069
571,46.058
572,61.512
573,42.29
574,44.063
575,67.236
576,44.043
577,43.24
578,10.657
579,81.619
580,78.235
581,83.254
582,26.118
583,40.051
584,30.566
585,48.287
586,33.089
587,21.991
588,48.315
589,64.94
590,26.857
591,49.423
592,39.32
593,45.875
594,72.317
595,78.388
596,28.113
597,12.159
598,34.854
599,45.915
600,41.987
601,73.634
602,17.559
603,29.069
604,31.412
605,65.843
606,68.225
607,65.355
608,80.109
609,56.537
610,61.786
611,51.171
612,70.856
613,47.164
614,7.5128
615,43.883
616,41.24
617,30.519
618,86.842
619,46.126
620,40.746
621,90.474
622,49.984
623,45.832
624,43.465
625,46.132
626,15.014
627,49.996
628,47.9
629,60.793
630,37.37
631,52.401
632,53.498
633,38.046
634,76.314
635,30.045
636,60.089
637,5.5246
638,55.753
639,54.866
640,34.829
641,33.317
642,20.83
643,61.929
644,14.788
645,20.151
646,30.15
647,68.741
648,78.504
649,27.883
650,51.561
651,72.358
652,8.0254
653,31.675
654,41.238
655,44.401
656,60.426
657,12.334
658,64.77
659,32.299
660,42.809
661,41.309
662,48.543
663,47.587
664,49.447
665,27.404
666,26.646
667,47.067
668,39.436
669,59.639
670,30.23
671,29.519
672,28.743
673,49.881
674,33.721
675,55.692
676,26.426
677,27.164
678,65.832
679,49.423
680,30.278
681,62.681
682,20.455
683,85.612
684,33.755
685,9.2632
686,55.621
687,62.266
688,46.629
689,51.106
690,37.623
691,59.606
692,40.813
693,63.045
694,23.737
695,41.293
696,19.341
697,33.742
698,41.909
699,25.854
700,39.95
701,30.662
702,7.1605
703,14.012
704,32.942
705,19.172
706,47.241
707,33.23
708,55.358
709,76.092
710,70.019
711,36.6
712,34.612
713,44.409
714,33.927
715,41.2
716,51.21
717,49.904
718,40.898
719,59.15
720,32.383
721,86.903
722,26.747
723,41.591
724,19.766
725,80.712
726,30.417
727,23.637
728,71.604
729,39.229
730,37.524
731,22.715
732,41.655
733,49.644
734,39.306
735,32.885
736,44.646
737,48.978
738,22.72
739,48.938
740,31.02
741,22.519
742,46.82
743,65.427
744,31.68
745,12.634
746,25.587
747,49.666
748,47.035
749,21.906
750,78.149
751,46.39
752,58.921
753,20.43
754,83.674
755,32.971
756,63.821
757,34.663
758,87.585
759,59.703
760,36.059
761,17.287
762,32.746
763,36.391
764,42.633
765,54.3
766,50.139
767,62.454
768,63.543
769,36.93
770,36.773
771,26.096
772,77.325
773,39.031
774,33.893
775,58.911
776,22.43
777,76.787
778,10.257
779,44.93
780,11.684
781,48.901
782,25.575
783,57.774
784,38.955
785,68.644
786,73.471
787,35.817
788,7.1582
