id,reference
0,48.337091
1,75.900669
2,85.4651
3,48.488679
4,90.406009
5,10.918659
6,79.127221
7,56.717436
8,36.200515
9,32.674109
10,38.77657
11,87.154421
12,78.072225
13,61.468104
14,32.340014
15,56.447982
16,30.294937
17,80.572299
18,86.494394
19,35.380623
20,64.027064
21,81.795099
22,26.745215
23,66.63877
24,49.546997
25,14.890086
26,17.004838
27,32.044634
28,75.306249
29,36.961569
30,86.828431
31,70.489097
32,62.785824
33,88.947607
34,60.281725
35,52.026607
36,29.997594
37,81.460812
38,40.19699
39,62.068595
40,78.577308
41,87.658439
42,48.542687
43,92.105715
44,48.092706
45,49.926475
46,21.317419
47,88.594871
48,54.182059
49,24.464255
50,62.163032
51,46.064024
52,33.986034
53,70.541672
54,86.235727
55,91.822956
56,84.536181
57,42.941553
58,29.855458
59,48.224658
60,49.959361
61,55.419971
62,34.931385
63,50.065778
64,62.451942
65,36.696539
66,69.66481
67,84.445111
68,53.829297
69,78.658318
70,87.588129
71,67.138556
72,24.32596
73,78.859277
74,59.679186
75,23.521654
76,67.684713
77,36.812469
78,88.126574
79,34.913674
80,61.925052
81,94.194258
82,46.416322
83,47.311412
84,21.348634
85,62.410855
86,23.446612
87,78.243537
88,17.01043
89,58.504963
90,71.457974
91,17.225452
92,37.974602
93,26.342827
94,40.149143
95,31.292771
96,14.034754
97,64.775207
98,64.825473
99,24.949618
100,50.897541
101,60.73835
102,36.097661
103,28.576944
104,60.637007
105,54.874871
106,28.838357
107,90.00874
108,55.524449
109,21.38179
110,56.180548
111,78.637604
112,27.753353
113,14.919166
114,88.84283
115,18.764783
116,81.03692
117,33.69517
118,33.52616
119,54.834591
120,51.836039
121,81.399276
122,16.863057
123,36.550107
124,37.943949
125,47.221426
126,38.106515
127,51.738855
128,26.422085
129,11.221306
130,89.663861
131,72.302485
132,69.062607
133,42.460947
134,56.534787
135,67.344512
136,50.681723
137,62.674361
138,81.344194
139,9.635617
140,18.361056
141,82.478283
142,13.962693
143,59.354636
144,48.828363
145,34.584206
146,15.212339
147,75.219196
148,38.621717
