Id,reference
0,47.758
1,78.844
2,83.971
3,55.48
4,79.701
5,12.042
6,78.342
7,61.858
8,39.727
9,39.501
10,50.264
11,65.885
12,73.926
13,63.965
14,35.06
15,53.752
16,30.794
17,74.514
18,81.917
19,37.465
20,66.681
21,70.126
22,35.1
23,60.646
24,49.14
25,18.494
26,12.254
27,36.16
28,72.537
29,34.762
30,77.534
31,65.73
32,57.31
33,82.846
34,54.917
35,58.427
36,42.769
37,75.135
38,44.666
39,50.008
40,84.062
41,83.83
42,47.384
43,75.829
44,45.326
45,43.122
46,14.759
47,80.788
48,57.406
49,36.178
50,58.036
51,50.524
52,27.172
53,51.572
54,92.463
55,71.888
56,74.238
57,45.93
58,2.7252
59,54.215
60,39.358
61,61.701
62,30.475
63,49.957
64,68.921
65,31.017
66,69.319
67,86.351
68,50.67
69,78.007
70,72.413
71,68.206
72,25.921
73,75.234
74,60.252
75,26.248
76,72.657
77,25.602
78,85.424
79,30.369
80,62.363
81,69.901
82,46.018
83,48.592
84,45.085
85,52.883
86,45.716
87,69.086
88,26.069
89,58.902
90,64.206
91,30.403
92,30.491
93,33.792
94,44.043
95,36.849
96,6.5379
97,59.99
98,66.116
99,51.267
100,48.712
101,59.275
102,34.509
103,31.843
104,54.293
105,52.648
106,12.469
107,82.414
108,70.117
109,27.792
110,53.403
111,83.576
112,50.58
113,20.68
114,77.683
115,23.619
116,75.748
117,28.627
118,41.712
119,55.792
120,46.702
121,81.478
122,28.77
123,37.665
124,37.853
125,50.175
126,36.657
127,53.352
128,37.233
129,8.4145
130,86.027
131,68.531
132,66.076
133,42.033
134,55.157
135,58.861
136,48.453
137,57.429
138,78.237
139,9.1638
140,26.693
141,84.414
142,2.4247
143,70.159
144,50.411
145,34.856
146,16.329
147,74.361
148,39.192
149,41.4
150,67.406
151,61.304
152,44.091
153,62.253
154,75.557
155,39.081
156,70.223
157,54.339
158,52.327
159,63.962
160,37.935
161,72.325
162,12.423
163,38.912
164,22.058
165,33.911
166,56.568
167,67.655
168,37.475
169,6.7455
170,45.797
171,8.4841
172,35.772
173,25.445
174,68.719
175,29.185
176,65.908
177,30.637
178,75.316
179,48.808
180,47.959
181,37.966
182,66.497
183,83.944
184,43.446
185,82.039
186,58.509
187,80.633
188,45.79
189,45.658
190,81.818
191,55.395
192,39.25
193,91.792
194,75.427
195,52.99
