id,reference
0,48.622
1,77.344
2,84.06
3,47.892
4,92.889
5,11.507
6,80.799
7,55.546
8,34.441
9,36.113
10,41.275
11,88.459
12,77.335
13,63.656
14,31.446
15,56.203
16,31.937
17,83.215
18,86.53
19,36.086
20,66.975
21,82.477
22,27.959
23,68.882
24,47.901
25,15.363
26,18.163
27,33.358
28,78.835
29,35.796
30,87.013
31,70.666
32,60.98
33,88.685
34,60.288
35,51.198
36,37
37,82.076
38,39.908
39,62.126
40,77.331
41,85.731
42,50.131
43,89.768
44,50.512
45,50.013
46,21.909
47,91.42
48,54.162
49,23.701
50,61.242
51,45.464
52,30.581
53,70.695
54,86.151
55,89.263
56,84.306
57,41.909
58,28.996
59,49.576
60,50.683
61,53.512
62,35.45
63,50.624
64,62.584
65,35.665
66,69.607
67,83.587
68,53.206
69,82.094
70,81.48
71,66.135
72,24.332
73,79.088
74,57.868
75,23.438
76,66.951
77,35.816
78,86.745
79,33.601
80,66.341
81,92.103
82,43.235
83,47.882
84,24.023
85,60.956
86,13.36
87,80.112
88,18.922
89,58.16
90,72.324
91,17.735
92,40.423
93,25.969
94,38.337
95,29.642
96,12.977
97,65.858
98,65.351
99,24.455
100,51.195
101,63.656
102,37.369
103,28.585
104,58.765
105,54.799
106,28.643
107,90.436
108,52.986
109,20.687
110,54.807
111,80.342
112,31.544
113,14.726
114,89.086
115,18.363
116,82.921
117,34.839
118,35.364
119,54.984
120,51.265
121,83.343
122,17.179
123,36.078
124,38.943
125,45.861
126,39.27
127,54.085
128,22.885
129,12.188
130,89.601
131,74.159
132,70.253
133,45.191
134,57.699
135,61.384
136,50.891
137,62.863
138,78.857
139,9.4644
140,20.127
141,82.51
142,14.238
143,58.845
144,48.857
145,35.237
146,14.457
147,76.294
148,39.403
149,41.365
150,63.081
151,81.526
152,43.113
153,70.1
154,80.369
155,29.671
156,80.78
157,50.934
158,47.457
159,69.663
160,31.979
161,82.991
162,27.315
163,48.3
164,29.73
165,33.757
166,50.939
167,69.282
168,37.432
169,30.458
170,41.581
171,15.467
172,34.605
173,15.2
174,72.621
175,32.211
176,65.849
177,25.561
178,77.949
179,44.434
180,44.927
181,38.214
182,68.6
183,74.524
184,32.344
185,83.621
186,64.386
187,81.813
188,44.679
189,49.596
190,87.72
191,52.499
192,40.232
193,85.995
194,67.871
195,47.223
196,26.716
197,66.2
198,81.042
199,34.345
200,58.823
201,41.76
202,39.302
203,25.341
204,57.649
205,15.375
206,26.808
207,88.109
208,35.306
209,54.994
210,70.482
211,68.392
212,60.6
213,54.413
214,30.274
215,65.163
216,44.9
217,33.013
218,32.872
219,52.388
220,14.581
221,37.221
222,65.22
223,38.641
224,59.05
225,39.824
226,8.0206
227,58.626
228,35.881
229,89.626
230,36.004
231,70.883
232,25.224
233,34.655
234,35.244
235,35.687
236,60.29
237,58.256
238,37.851
239,51.294
240,73.539
241,54.42
242,26.835
243,68.066
244,59.897
245,44.031
246,13.541
247,28.257
248,29.049
249,9.9831
250,56.209
251,60.59
252,60.845
253,81.342
254,83.507
255,41.417
256,15.815
257,89.073
258,8.4231
259,93.917
260,62.239
261,63.25
262,16.754
263,50.436
264,58.689
265,55.224
266,12.683
267,85.513
268,19.244
269,71.451
