Id,reference
0,45.032
1,75.699
2,85.635
3,52.919
4,83.585
5,7.0381
6,77.409
7,57.706
8,32.909
9,37.994
10,50.778
11,66.085
12,66.992
13,67.096
14,33.072
15,53.588
16,21.258
17,76.59
18,82.504
19,37.441
20,69.285
21,71.122
22,34.142
23,63.509
24,48.286
25,15.075
26,9.7623
27,33.241
28,73.625
29,36.286
30,78.06
31,66.498
32,57.275
33,86.049
34,57.89
35,54.678
36,44.315
37,74.182
38,39.735
39,52.889
40,83.339
41,85.659
42,48.205
43,76.328
44,43.469
45,41.215
46,15.639
47,86.03
48,55.255
49,34.341
50,57.711
51,49.714
52,21.531
53,61.739
54,94.087
55,75.451
56,79.285
57,42.768
58,7.3477
59,49.886
60,44.837
61,55.64
62,32.994
63,49.9
64,67.585
65,33.433
66,69.627
67,89.202
68,51.294
69,84.311
70,68.408
71,68.189
72,27.57
73,73.989
74,59.935
75,29.281
76,71.766
77,23.921
78,88.606
79,31.838
80,60.313
81,75.008
82,43.034
83,43.461
84,43.549
85,57.642
86,46.205
87,71.698
88,28.02
89,59.365
90,68.021
91,30.166
92,34.689
93,35.48
94,41.793
95,37.689
96,9.8917
97,55.15
98,65.935
99,50.904
100,48.671
101,54.308
102,36.956
103,35.898
104,53.054
105,53.029
106,6.5764
107,82.979
108,65.542
109,26.383
110,55.568
111,91.273
112,51.148
113,21.048
114,83.979
115,24.223
116,79.613
117,29.924
118,37.897
119,55.883
120,45.867
121,83.197
122,23.261
123,36.967
124,39.813
125,49.693
126,39.051
127,46.14
128,45.575
129,9.1176
130,86.961
131,75.862
132,61.275
133,41.685
134,58.769
135,57.736
136,48.356
137,59.722
138,81.634
139,8.4379
140,23.642
141,84.177
142,4.5242
143,70.437
144,48.01
145,35.387
146,10.016
147,76.128
148,39.679
149,39.274
150,65.287
151,60.962
152,43.798
153,69.29
154,73.121
155,38.897
156,72.86
157,55.09
158,48.241
159,65.312
160,39.168
161,74.172
162,20.589
163,41.581
164,26.033
165,28.899
166,52.714
167,62.686
168,41.98
169,5.243
170,42.957
171,6.1897
172,32.657
173,22.405
174,72.148
175,28.647
176,65.98
177,37.31
178,74.502
179,42.924
180,45.607
181,39.352
182,59.135
183,84.784
184,41.165
185,81.874
186,56.254
187,82.032
