id,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,preschool_quota,preschool_education_centers_raion,children_school,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25,culture_objects_top_25_raion,shopping_centers_raion,office_raion,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,full_all,male_f,female_f,young_all,young_male,young_female,work_all,work_male,work_female,ekder_all,ekder_male,ekder_female,0_6_all,0_6_male,0_6_female,7_14_all,7_14_male,7_14_female,0_17_all,0_17_male,0_17_female,16_29_all,16_29_male,16_29_female,0_13_all,0_13_male,0_13_female,raion_build_count_with_material_info,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_monolith,build_count_panel,build_count_foam,build_count_slag,build_count_mix,raion_build_count_with_builddate_info,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995,ID_metro,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,kindergarten_km,school_km,park_km,green_zone_km,industrial_km,water_treatment_km,cemetery_km,incineration_km,railroad_station_walk_km,railroad_station_walk_min,ID_railroad_station_walk,railroad_station_avto_km,railroad_station_avto_min,ID_railroad_station_avto,public_transport_station_km,public_transport_station_min_walk,water_km,water_1line,mkad_km,ttk_km,sadovoe_km,bulvar_ring_km,kremlin_km,big_road1_km,ID_big_road1,big_road1_1line,big_road2_km,ID_big_road2,railroad_km,railroad_1line,zd_vokzaly_avto_km,ID_railroad_terminal,bus_terminal_avto_km,ID_bus_terminal,oil_chemistry_km,nuclear_reactor_km,radiation_km,power_transmission_line_km,thermal_power_plant_km,ts_km,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,hospice_morgue_km,detention_facility_km,public_healthcare_km,university_km,workplaces_km,shopping_centers_km,office_km,additional_education_km,preschool_km,big_church_km,church_synagogue_km,mosque_km,theater_km,museum_km,exhibition_km,catering_km,ecology,green_part_500,prom_part_500,office_count_500,office_sqm_500,trc_count_500,trc_sqm_500,cafe_count_500,cafe_sum_500_min_price_avg,cafe_sum_500_max_price_avg,cafe_avg_price_500,cafe_count_500_na_price,cafe_count_500_price_500,cafe_count_500_price_1000,cafe_count_500_price_1500,cafe_count_500_price_2500,cafe_count_500_price_4000,cafe_count_500_price_high,big_church_count_500,church_count_500,mosque_count_500,leisure_count_500,sport_count_500,market_count_500,green_part_1000,prom_part_1000,office_count_1000,office_sqm_1000,trc_count_1000,trc_sqm_1000,cafe_count_1000,cafe_sum_1000_min_price_avg,cafe_sum_1000_max_price_avg,cafe_avg_price_1000,cafe_count_1000_na_price,cafe_count_1000_price_500,cafe_count_1000_price_1000,cafe_count_1000_price_1500,cafe_count_1000_price_2500,cafe_count_1000_price_4000,cafe_count_1000_price_high,big_church_count_1000,church_count_1000,mosque_count_1000,leisure_count_1000,sport_count_1000,market_count_1000,green_part_1500,prom_part_1500,office_count_1500,office_sqm_1500,trc_count_1500,trc_sqm_1500,cafe_count_1500,cafe_sum_1500_min_price_avg,cafe_sum_1500_max_price_avg,cafe_avg_price_1500,cafe_count_1500_na_price,cafe_count_1500_price_500,cafe_count_1500_price_1000,cafe_count_1500_price_1500,cafe_count_1500_price_2500,cafe_count_1500_price_4000,cafe_count_1500_price_high,big_church_count_1500,church_count_1500,mosque_count_1500,leisure_count_1500,sport_count_1500,market_count_1500,green_part_2000,prom_part_2000,office_count_2000,office_sqm_2000,trc_count_2000,trc_sqm_2000,cafe_count_2000,cafe_sum_2000_min_price_avg,cafe_sum_2000_max_price_avg,cafe_avg_price_2000,cafe_count_2000_na_price,cafe_count_2000_price_500,cafe_count_2000_price_1000,cafe_count_2000_price_1500,cafe_count_2000_price_2500,cafe_count_2000_price_4000,cafe_count_2000_price_high,big_church_count_2000,church_count_2000,mosque_count_2000,leisure_count_2000,sport_count_2000,market_count_2000,green_part_3000,prom_part_3000,office_count_3000,office_sqm_3000,trc_count_3000,trc_sqm_3000,cafe_count_3000,cafe_sum_3000_min_price_avg,cafe_sum_3000_max_price_avg,cafe_avg_price_3000,cafe_count_3000_na_price,cafe_count_3000_price_500,cafe_count_3000_price_1000,cafe_count_3000_price_1500,cafe_count_3000_price_2500,cafe_count_3000_price_4000,cafe_count_3000_price_high,big_church_count_3000,church_count_3000,mosque_count_3000,leisure_count_3000,sport_count_3000,market_count_3000,green_part_5000,prom_part_5000,office_count_5000,office_sqm_5000,trc_count_5000,trc_sqm_5000,cafe_count_5000,cafe_sum_5000_min_price_avg,cafe_sum_5000_max_price_avg,cafe_avg_price_5000,cafe_count_5000_na_price,cafe_count_5000_price_500,cafe_count_5000_price_1000,cafe_count_5000_price_1500,cafe_count_5000_price_2500,cafe_count_5000_price_4000,cafe_count_5000_price_high,big_church_count_5000,church_count_5000,mosque_count_5000,leisure_count_5000,sport_count_5000,market_count_5000
314,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,3.443197864,1.737820796,13.95515049,1.162929207,0.112151179,0.516207399,3.741827785,0.25949198,1.217186964,5.854758,2.216343,3.577265,4.693300028,56.31960033,21,5.340136423,8.290887197,21,0.082587984,0.991055802,0.860971998,no,5.381477088,8.207338537,11.40893169,12.82749545,13.46359069,1.142853437,2,no,5.381477069,1,1.795738009,no,13.40559972,32,8.875196153,9,13.42840566,5.36100382,1.731529915,1.559225049,5.954019604,0.957023046,9.240491533,3.639604021,0.526449515,1.491388648,8.95368727,9.75298476,1.904309764,3.62499566,16.31524803,4.279349201,4.359123999,0.516207399,0.603157616,1.026398949,0.461753842,0.516207399,0.840995647,0.878852747,2.48241415,4.803618075,5.248036503,3.59832894,0.181816387,poor,2.44,0,0,0,0,0,2,300,500,400,0,2,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,5,117100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,3,0,18.81,3.18,3,412562,8,303100,23,635,1025,830,3,9,3,7,1,0,0,2,1,0,0,8,0,22.84,8.45,6,464562,15,748003,42,664.1,1102.56,883.33,3,13,11,12,3,0,0,2,4,0,0,10,0,29.31,17.6,11,589845,19,897486,65,640,1075,857.5,5,23,17,14,6,0,0,2,8,1,0,21,4,26.25,17.68,31,1449681,55,1652419,163,658.94,1112.58,885.76,12,45,54,40,11,1,0,6,30,1,4,42,12
930,Krjukovo,10842309.74,85219,0.06217241,0.161531741,5767,5278,6,5648,10529,6,0,30,2,0,4,1,no,0,4,1,no,no,no,no,no,no,no,no,221709,101426,120283,12194,6155,6039,58114,28761,29353,14911,4222,10689,5767,2919,2848,5648,2830,2818,13872,7020,6852,49415,25109,24306,10654,5374,5280,372,8,146,11,65,9,111,1,17,4,373,2,20,184,131,36,29,25.92664406,20.89523323,250.5682132,20.88068443,0.114167806,0.608901158,16.96050416,0.127082029,0.191864425,5.710298,3.810073,28.66517,1.511245274,18.13494328,28,1.596136419,3.053835161,28,0.050126527,0.601518326,0.177251833,no,19.19090066,32.66446976,35.30295511,36.08816447,37.3263438,5.545237804,14,no,8.733737852,46,1.223566478,no,38.15999649,83,27.41623415,1,44.65476011,23.5794595,22.11655396,17.89178861,23.42707778,18.75531255,44.37898736,1.037405941,0.415006308,6.474320519,6.415945559,28.06713682,13.61030677,3.079481406,29.78708101,1.049647576,4.078380657,4.583653552,0.415006308,0.93867039,0.797008182,0.608901158,5.771907284,0.701849835,29.85564359,7.273285195,1.754611329,21.61336382,1.469989962,no data,11.07,11.72,0,0,1,5700,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,4.64,17.74,1,6000,3,13900,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,10.72,11.96,1,6000,4,15600,3,600,1000,800,0,1,1,1,0,0,0,0,1,0,0,3,1,19.24,7.91,1,6000,4,15600,4,525,875,700,0,2,1,1,0,0,0,0,1,0,1,4,1,24.13,8.34,1,6000,5,17700,5,480,800,640,0,3,1,1,0,0,0,0,2,0,1,4,1,29.96,6.14,3,51038,7,49700,15,540,900,720,0,7,4,4,0,0,0,0,2,0,1,8,1
1520,Rostokino,3497818.591,37502,0.146940785,0.210473241,2334,1040,1,2398,2260,2,0,1994,3,1,8,5,no,0,0,2,no,no,no,no,no,no,no,no,175518,82886,92632,5074,2551,2523,22837,11618,11219,9591,2936,6655,2334,1175,1159,2398,1207,1191,5652,2877,2775,35541,17988,17553,4480,2252,2228,152,46,0,0,84,8,14,0,0,0,152,0,2,118,23,9,156,1.580859706,1.06142592,11.90947316,0.992456097,0.589540647,0.47457668,0.866971385,0.171399565,0.016864476,18.40912,1.146559,5.482943,2.550079493,30.60095392,43,2.585782634,3.811508252,78,0.063396011,0.760752134,0.155781368,no,6.962621404,4.389620526,6.812665564,7.484852407,8.963215127,0.169175276,20,no,2.342182495,15,0.354324507,no,4.854625913,101,8.34114847,4,11.20037917,7.619789755,1.220635074,1.457290849,7.570821603,1.038622835,10.45826585,2.473173582,0.220514076,2.336641152,0.813418192,4.932015346,1.624495955,0.929806517,6.707298966,0.611882452,0.621600639,0.47457668,1.434273841,0.59894573,0.5830704,0.668894927,0.81747091,1.017511292,4.484581585,1.84079847,2.455645989,0.572174695,0.210661732,poor,20.28,26.19,0,0,0,0,2,750,1250,1000,0,0,1,1,0,0,0,0,0,0,0,1,0,11.4,17.8,3,54700,0,0,11,790.91,1318.18,1054.55,0,4,3,2,1,1,0,1,0,0,2,7,0,16.03,15.4,5,59750,2,264000,40,826.32,1381.58,1103.95,2,13,9,6,8,2,0,1,4,0,2,9,1,23.03,14.14,10,168070,3,505000,55,753.85,1269.23,1011.54,3,19,14,8,9,2,0,2,5,0,2,15,1,36.3,11.71,19,356417,7,769699,97,765.96,1297.87,1031.91,3,30,28,14,20,2,0,4,10,0,3,29,2,31.41,12.49,61,1028361,33,1287873,220,700,1178.92,939.46,16,71,60,42,28,3,0,15,35,1,4,85,5
2391,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,3.443197864,1.737820796,13.95515049,1.162929207,0.112151179,0.516207399,3.741827785,0.25949198,1.217186964,5.854758,2.216343,3.577265,4.693300028,56.31960033,21,5.340136423,8.290887197,21,0.082587984,0.991055802,0.860971998,no,5.381477088,8.207338537,11.40893169,12.82749545,13.46359069,1.142853437,2,no,5.381477069,1,1.795738009,no,13.40559972,32,8.875196153,9,13.42840566,5.36100382,1.731529915,1.559225049,5.954019604,0.957023046,9.240491533,3.639604021,0.526449515,1.491388648,8.95368727,9.75298476,1.904309764,3.62499566,16.31524803,4.279349201,4.359123999,0.516207399,0.603157616,1.026398949,0.461753842,0.516207399,0.840995647,0.878852747,2.48241415,4.803618075,5.248036503,3.59832894,0.181816387,poor,2.44,0,0,0,0,0,2,300,500,400,0,2,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,5,117100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,3,0,18.81,3.18,3,412562,8,303100,23,635,1025,830,3,9,3,7,1,0,0,2,1,0,0,8,0,22.84,8.45,6,464562,15,748003,42,664.1,1102.56,883.33,3,13,11,12,3,0,0,2,4,0,0,10,0,29.31,17.6,11,589845,19,897486,65,640,1075,857.5,5,23,17,14,6,0,0,2,8,1,0,21,4,26.25,17.68,31,1449681,55,1652419,163,658.94,1112.58,885.76,12,45,54,40,11,1,0,6,30,1,4,42,12
2447,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,3.443197864,1.737820796,13.95515049,1.162929207,0.112151179,0.516207399,3.741827785,0.25949198,1.217186964,5.854758,2.216343,3.577265,4.693300028,56.31960033,21,5.340136423,8.290887197,21,0.082587984,0.991055802,0.860971998,no,5.381477088,8.207338537,11.40893169,12.82749545,13.46359069,1.142853437,2,no,5.381477069,1,1.795738009,no,13.40559972,32,8.875196153,9,13.42840566,5.36100382,1.731529915,1.559225049,5.954019604,0.957023046,9.240491533,3.639604021,0.526449515,1.491388648,8.95368727,9.75298476,1.904309764,3.62499566,16.31524803,4.279349201,4.359123999,0.516207399,0.603157616,1.026398949,0.461753842,0.516207399,0.840995647,0.878852747,2.48241415,4.803618075,5.248036503,3.59832894,0.181816387,poor,2.44,0,0,0,0,0,2,300,500,400,0,2,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,5,117100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,3,0,18.81,3.18,3,412562,8,303100,23,635,1025,830,3,9,3,7,1,0,0,2,1,0,0,8,0,22.84,8.45,6,464562,15,748003,42,664.1,1102.56,883.33,3,13,11,12,3,0,0,2,4,0,0,10,0,29.31,17.6,11,589845,19,897486,65,640,1075,857.5,5,23,17,14,6,0,0,2,8,1,0,21,4,26.25,17.68,31,1449681,55,1652419,163,658.94,1112.58,885.76,12,45,54,40,11,1,0,6,30,1,4,42,12
2558,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,3.443197864,1.737820796,13.95515049,1.162929207,0.112151179,0.516207399,3.741827785,0.25949198,1.217186964,5.854758,2.216343,3.577265,4.693300028,56.31960033,21,5.340136423,8.290887197,21,0.082587984,0.991055802,0.860971998,no,5.381477088,8.207338537,11.40893169,12.82749545,13.46359069,1.142853437,2,no,5.381477069,1,1.795738009,no,13.40559972,32,8.875196153,9,13.42840566,5.36100382,1.731529915,1.559225049,5.954019604,0.957023046,9.240491533,3.639604021,0.526449515,1.491388648,8.95368727,9.75298476,1.904309764,3.62499566,16.31524803,4.279349201,4.359123999,0.516207399,0.603157616,1.026398949,0.461753842,0.516207399,0.840995647,0.878852747,2.48241415,4.803618075,5.248036503,3.59832894,0.181816387,poor,2.44,0,0,0,0,0,2,300,500,400,0,2,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,5,117100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,3,0,18.81,3.18,3,412562,8,303100,23,635,1025,830,3,9,3,7,1,0,0,2,1,0,0,8,0,22.84,8.45,6,464562,15,748003,42,664.1,1102.56,883.33,3,13,11,12,3,0,0,2,4,0,0,10,0,29.31,17.6,11,589845,19,897486,65,640,1075,857.5,5,23,17,14,6,0,0,2,8,1,0,21,4,26.25,17.68,31,1449681,55,1652419,163,658.94,1112.58,885.76,12,45,54,40,11,1,0,6,30,1,4,42,12
3090,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,3.443197864,1.737820796,13.95515049,1.162929207,0.112151179,0.516207399,3.741827785,0.25949198,1.217186964,5.854758,2.216343,3.577265,4.693300028,56.31960033,21,5.340136423,8.290887197,21,0.082587984,0.991055802,0.860971998,no,5.381477088,8.207338537,11.40893169,12.82749545,13.46359069,1.142853437,2,no,5.381477069,1,1.795738009,no,13.40559972,32,8.875196153,9,13.42840566,5.36100382,1.731529915,1.559225049,5.954019604,0.957023046,9.240491533,3.639604021,0.526449515,1.491388648,8.95368727,9.75298476,1.904309764,3.62499566,16.31524803,4.279349201,4.359123999,0.516207399,0.603157616,1.026398949,0.461753842,0.516207399,0.840995647,0.878852747,2.48241415,4.803618075,5.248036503,3.59832894,0.181816387,poor,2.44,0,0,0,0,0,2,300,500,400,0,2,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,5,117100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,3,0,18.81,3.18,3,412562,8,303100,23,635,1025,830,3,9,3,7,1,0,0,2,1,0,0,8,0,22.84,8.45,6,464562,15,748003,42,664.1,1102.56,883.33,3,13,11,12,3,0,0,2,4,0,0,10,0,29.31,17.6,11,589845,19,897486,65,640,1075,857.5,5,23,17,14,6,0,0,2,8,1,0,21,4,26.25,17.68,31,1449681,55,1652419,163,658.94,1112.58,885.76,12,45,54,40,11,1,0,6,30,1,4,42,12
3095,Chertanovo Severnoe,6206098.885,111874,0.12812331,0.089039719,4720,2881,5,7976,6784,5,0,NA,0,0,10,3,no,0,11,5,no,no,no,no,no,no,no,no,125354,56569,68785,13326,5986,7340,73503,34020,39483,25045,6881,18164,4720,2321,2399,7976,3355,4621,14552,6590,7962,27006,12822,14184,12093,5372,6721,158,24,0,0,0,3,131,0,0,0,157,0,0,56,93,8,80,3.443197864,1.737820796,13.95515049,1.162929207,0.112151179,0.516207399,3.741827785,0.25949198,1.217186964,5.854758,2.216343,3.577265,4.693300028,56.31960033,21,5.340136423,8.290887197,21,0.082587984,0.991055802,0.860971998,no,5.381477088,8.207338537,11.40893169,12.82749545,13.46359069,1.142853437,2,no,5.381477069,1,1.795738009,no,13.40559972,32,8.875196153,9,13.42840566,5.36100382,1.731529915,1.559225049,5.954019604,0.957023046,9.240491533,3.639604021,0.526449515,1.491388648,8.95368727,9.75298476,1.904309764,3.62499566,16.31524803,4.279349201,4.359123999,0.516207399,0.603157616,1.026398949,0.461753842,0.516207399,0.840995647,0.878852747,2.48241415,4.803618075,5.248036503,3.59832894,0.181816387,poor,2.44,0,0,0,0,0,2,300,500,400,0,2,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,5,117100,17,640,1033.33,836.67,2,7,2,5,1,0,0,1,1,0,0,3,0,18.81,3.18,3,412562,8,303100,23,635,1025,830,3,9,3,7,1,0,0,2,1,0,0,8,0,22.84,8.45,6,464562,15,748003,42,664.1,1102.56,883.33,3,13,11,12,3,0,0,2,4,0,0,10,0,29.31,17.6,11,589845,19,897486,65,640,1075,857.5,5,23,17,14,6,0,0,2,8,1,0,21,4,26.25,17.68,31,1449681,55,1652419,163,658.94,1112.58,885.76,12,45,54,40,11,1,0,6,30,1,4,42,12
3198,Basmannoe,8398460.622,108171,0.015233744,0.037316452,5706,3240,7,6748,7770,9,0,562,4,2,25,2,no,0,10,93,no,no,no,yes,yes,no,no,no,28179,13522,14657,13368,7159,6209,68043,34236,33807,26760,8563,18197,5706,2982,2724,6748,3664,3084,15237,8113,7124,5164,2583,2581,11631,6223,5408,746,48,0,0,643,16,35,0,3,1,746,371,114,146,62,53,5,2.002546858,1.287287091,10.04948191,0.837456826,0.247352807,0.298276299,0.460397483,0.28479646,0.635511943,10.49757,3.402093,11.99715,1.002558128,12.03069754,5,2.006565028,2.90164427,113,0.06541243,0.784949162,0.344904298,no,12.01565916,2.101167144,0.39150201,0.318719885,2.088802734,2.101167144,4,no,3.352595883,10,0.554462946,no,2.006565028,113,1.834094813,4,6.87749144,8.220371112,1.228810385,3.977148051,4.921926701,2.760486962,6.908646348,2.380404582,0.460956786,3.021800705,3.603746806,4.021420687,0.207047603,1.66396383,3.752691388,1.532369703,0.470917659,1.27291248,0.658146448,0.059340089,1.258101279,0.298276299,0.236765809,0.176120267,2.514136034,0.426386728,1.346873089,1.075354551,0.028325391,excellent,4.61,0,21,135302,0,0,70,764.18,1276.12,1020.15,3,19,18,17,13,0,0,3,5,0,2,4,0,4.71,5.94,50,423703,3,158200,186,743.75,1238.64,991.19,10,48,56,50,18,3,1,12,19,0,3,7,0,5.1,4.43,104,1174888,6,311900,367,771.43,1281.34,1026.38,24,97,100,94,40,11,1,26,42,0,12,10,0,4.03,3.46,173,1991891,25,1102800,625,838.84,1386.71,1112.78,38,158,156,157,83,31,2,46,76,0,19,22,4,6.06,6.44,346,3791113,62,2370746,1234,845.55,1396.72,1121.13,77,316,304,304,164,63,6,80,138,2,47,82,6,7.9,10.34,728,9066275,116,3534378,2390,859.01,1419.27,1139.14,148,593,606,575,330,118,20,136,242,2,104,198,14
3302,Poselenie Vnukovskoe,25536296.81,4001,0.496315283,0.007122317,275,NA,0,264,NA,0,0,NA,0,0,0,0,no,0,1,0,no,no,no,no,no,no,no,no,17790,8350,9443,574,297,277,2566,1356,1211,861,244,617,275,143,133,264,136,128,646,336,311,3796,2035,1762,506,261,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5.579933676,4.887423018,58.86017002,4.905014168,1.227892102,0.684060525,6.979051616,0.208579201,2.102204249,17.35623,0.82707,20.91533,3.111999264,37.34399116,103,6.137371895,7.817639666,19,0.791724994,9.500699929,0.065732508,yes,9.520512844,19.56056976,22.28096174,23.45025551,24.31816735,2.370081471,13,no,4.124754913,27,1.403170325,no,28.8646512,50,20.53176292,8,32.05455189,19.77738275,11.24042178,7.575000881,12.48871625,6.136824191,18.71112929,9.598983501,3.905133705,5.686880303,5.881039891,17.06370885,10.72674592,7.344893947,28.25000241,5.218098051,16.05878581,11.64162994,0.742146476,4.196628914,3.619175406,0.684060525,3.371170911,0.654049016,14.9556104,16.62469498,12.29938768,6.958557253,1.315528499,no data,10.08,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,1,17000,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,24.4,0,0,0,1,17000,2,650,1000,825,0,1,0,1,0,0,0,0,1,0,0,0,0,36.59,0,0,0,1,17000,2,650,1000,825,0,1,0,1,0,0,0,0,1,0,0,0,0,37.02,1.16,0,0,1,17000,5,760,1300,1030,0,1,2,1,1,0,0,0,3,0,0,0,0,41.03,3.22,1,117300,3,139300,13,815.38,1384.62,1100,0,2,6,3,1,1,0,1,7,0,0,6,0
